column_name,dtype,unit,min,max,mean,std,n_unique,missing_count,inf_count,is_constant,is_near_constant,duplicate_of,conversion_relation,selected_for_baseline,role,exclusion_reason
/velocities[0]/uBody-fps[0],float64,ft/s,-31.411550521850582,170.2410430908203,106.48536977923195,32.93160341245238,124195,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/velocities[0]/wBody-fps[0],float64,ft/s,-13.859576225280762,31.23529052734375,1.5065057152522643,3.488897667159167,124965,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/accelerations[0]/pilot[0]/x-accel-fps_sec[0],float64,ft/s,-82.17086791992188,323.793701171875,-1.3431466192681716,3.0995226741482163,124862,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/accelerations[0]/pilot[0]/y-accel-fps_sec[0],float64,ft/s,-171.4245147705078,241.92051696777344,0.07849046860599589,2.5379371057470457,124995,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/accelerations[0]/pilot[0]/z-accel-fps_sec[0],float64,ft/s,-559.7720947265625,15.075770378112791,-32.246307175633014,3.873399513790759,120292,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/instrumentation[0]/slip-skid-ball[0]/indicated-slip-skid[0],float64,,-5.822944641113281,7.331763744354248,0.033163437435013744,0.5515305252021554,62470,0,0,False,False,,,False,qa_only,
/position[0]/ground-elev-m[0],float64,m,-0.0758406966924667,46.60757827758789,29.491718428228804,11.301143264046559,121463,0,0,False,False,,,False,qa_only,
/controls[0]/flight[0]/aileron[0],float64,,-1.0,0.6368544101715088,-0.003147889390755681,0.08211165981278173,751,0,0,False,False,,,True,label,
/controls[0]/flight[0]/elevator[0],float64,,-0.6879112124443054,0.3252488672733307,0.0006876372668638765,0.0688935413230136,568,0,0,False,False,,,True,label,
/controls[0]/flight[0]/rudder[0],float64,,-1.0,1.0,0.04083796935467863,0.1615159177352687,220,0,0,False,False,,,True,label,
/controls[0]/flight[0]/aileron-trim[0],float64,,0.0219999998807907,0.022,0.021999999894518018,3.80525378488886e-11,2,0,0,False,True,,,False,qa_only,
/controls[0]/flight[0]/elevator-trim[0],float64,,-0.0299999993294477,0.1299999952316284,0.04292194428243291,0.039210016824431176,271,0,0,False,False,,,False,derived_feature_source,
/controls[0]/flight[0]/rudder-trim[0],float64,,0.0199999995529651,0.02,0.019999999604442525,1.4269702328940486e-10,2,0,0,False,True,,,False,qa_only,
/controls[0]/flight[0]/flaps[0],float64,,0.0,1.0,0.8187994512845407,0.296754374730295,14,0,0,False,False,,,True,neural_input,
/controls[0]/flight[0]/speedbrake[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/controls[0]/flight[0]/spoilers[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/controls[0]/gear[0]/brake-left[0],float64,,0.0,1.0,0.03404813599473321,0.1699517065523409,950,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/controls[0]/gear[0]/brake-right[0],float64,,0.0,1.0,0.03419909505049501,0.16969584222741743,917,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/controls[0]/gear[0]/copilot-brake-left[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/controls[0]/gear[0]/copilot-brake-right[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/controls[0]/gear[0]/brake-parking[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/environment[0]/wind-speed-kt[0],float64,kt,3.0401904582977295,19.78107261657715,8.784783422420206,6.029486246835304,43109,0,0,False,False,,,False,qa_only,
/environment[0]/wind-from-heading-deg[0],float64,deg,150.0,299.18426513671875,209.40108529386845,60.41823491054706,10175,0,0,False,False,,,False,qa_only,
/environment[0]/turbulence[0]/magnitude-norm[0],float64,norm[0..1 or -1..1],0.0,0.6399999856948853,0.00010901568014212568,0.0072731390368027705,141,0,0,False,False,,,False,qa_only,
/environment[0]/temperature-degc[0],float64,,13.41342830657959,20.081830978393555,19.371325117311716,0.6359532641802514,105939,0,0,False,False,,,False,qa_only,
/environment[0]/pressure-sea-level-inhg[0],float64,,29.91665267944336,29.969640731811523,29.943583236166706,0.026485157473893153,49,0,0,False,False,,,False,qa_only,
/environment[0]/magnetic-variation-deg[0],float64,deg,-9.792181015014648,-9.743820190429688,-9.778340932619345,0.007847304439683324,36157,0,0,False,False,,,False,qa_only,
/environment[0]/visibility-m[0],float64,m,16093.4404296875,119999.1563,67781.63744266957,50131.48614361077,487,0,0,False,False,,,False,qa_only,
/surface-positions[0]/elevator-pos-norm[0],float64,norm[0..1 or -1..1],-0.6027974486351013,0.2951931655406952,0.043600972891623166,0.05947777279364927,4499,0,0,False,False,,,False,qa_only,
/surface-positions[0]/flap-pos-norm[0],float64,norm[0..1 or -1..1],0.0,1.0,0.8119211822998826,0.30270843894480143,1808,0,0,False,False,,,False,qa_only,
/surface-positions[0]/left-aileron-pos-norm[0],float64,norm[0..1 or -1..1],-0.9778155088424684,0.6587300896644592,0.018848336327371325,0.08209695043928411,754,0,0,False,False,,,False,qa_only,
/surface-positions[0]/right-aileron-pos-norm[0],float64,norm[0..1 or -1..1],-0.9778155088424684,0.6587300896644592,0.018848336327371325,0.08209695043928411,754,0,0,False,False,/surface-positions[0]/left-aileron-pos-norm[0],identity (byte-exact),False,excluded,duplicate_unit_or_exact
/surface-positions[0]/rudder-pos-norm[0],float64,norm[0..1 or -1..1],-0.9798151254653932,0.999811351299286,0.06081043790334047,0.16139174486077595,220,0,0,False,False,,,False,qa_only,
/sim[0]/model[0]/c172p[0]/cockpit[0]/yoke-aileron[0],float64,,-1.0,0.6368544101715088,-0.0031481074109343077,0.08211244066553494,754,0,0,False,False,,,False,qa_only,
/sim[0]/model[0]/c172p[0]/cockpit[0]/yoke-elevator[0],float64,,-0.6029111742973328,0.2952488660812378,0.04360919953699445,0.059488995132000864,4498,0,0,False,False,,,False,qa_only,
/sim[0]/model[0]/c172p[0]/cockpit[0]/pedals-rudder[0],float64,,-1.0,0.9800000190734864,-0.06082191201324949,0.1614221966282231,219,0,0,False,False,,,False,qa_only,
/sim[0]/model[0]/c172p[0]/cockpit[0]/flaps-lever[0],float64,,0.0,1.0,0.8199048402141532,0.29398513170710566,682,0,0,False,False,,,False,qa_only,
/sim[0]/model[0]/c172p[0]/cockpit[0]/parking-lever[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/gear[0]/gear[0]/steering-norm[0],float64,norm[0..1 or -1..1],-0.3333333432674408,0.3333333432674408,0.0029639013442855355,0.032405118979074415,774,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/gear[0]/gear[1]/steering-norm[0],float64,norm[0..1 or -1..1],0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/gear[0]/gear[2]/steering-norm[0],float64,norm[0..1 or -1..1],0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/gear[0]/gear[0]/compression-norm[0],float64,norm[0..1 or -1..1],0.0,0.3138852715492248,0.015902503628083608,0.04131879134638408,22177,0,0,False,False,,,False,flight_manager_only,
/gear[0]/gear[1]/compression-norm[0],float64,norm[0..1 or -1..1],0.0,0.3267002701759338,0.008358495167421797,0.02580241626975346,16421,0,0,False,False,,,False,flight_manager_only,
/gear[0]/gear[2]/compression-norm[0],float64,norm[0..1 or -1..1],0.0,0.3058469891548157,0.012799659584284953,0.033352807027247716,21534,0,0,False,False,,,False,flight_manager_only,
/gear[0]/gear[0]/rollspeed-ms[0],float64,m/s,-7.988345146179199,35.71944046020508,3.188191987305365,7.605102941682283,25263,0,0,False,False,,,False,flight_manager_only,
/gear[0]/gear[1]/rollspeed-ms[0],float64,m/s,-7.943906307220459,36.14152145385742,2.3661775666353013,6.562047922849327,19788,0,0,False,False,,,False,flight_manager_only,
/gear[0]/gear[2]/rollspeed-ms[0],float64,m/s,-8.150607109069824,34.12238311767578,2.8919799865016236,7.145762444102104,23916,0,0,False,False,,,False,flight_manager_only,
/consumables[0]/fuel[0]/tank[0]/level-gal_us[0],float64,,5.050526142120361,5.374722958,5.309286989635171,0.0807671093833741,2749,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/consumables[0]/fuel[0]/tank[1]/level-gal_us[0],float64,,5.050526142120361,5.374722958,5.309286989635171,0.0807671093833741,2749,0,0,False,False,/consumables[0]/fuel[0]/tank[0]/level-gal_us[0],identity (byte-exact),False,excluded,duplicate_unit_or_exact
/consumables[0]/fuel[0]/tank[2]/level-gal_us[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/controls[0]/engines[0]/engine[0]/throttle[0],float64,,0.0,1.0,0.4620222700474685,0.27509237606873094,259,0,0,False,False,,,True,label,
/controls[0]/engines[0]/engine[1]/throttle[0],float64,,0.0,1.0,0.4620222700474685,0.27509237606873094,259,0,0,False,False,/controls[0]/engines[0]/engine[0]/throttle[0],identity (byte-exact),False,excluded,duplicate_unit_or_exact
/controls[0]/engines[0]/current-engine[0]/mixture[0],float64,,0.814183235,0.814183235168457,0.8141832351490588,5.3777482942303114e-11,2,0,0,False,True,,,False,excluded,not_in_v1_feature_schema_sections14_15
/engines[0]/active-engine[0]/rpm[0],float64,,0.0081969397142529,2550.64306640625,1363.382655549153,495.952315850546,124213,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/engines[0]/active-engine[0]/mp-osi[0],float64,,4.789791107177734,29.53933334350586,12.941461629166698,5.588306722589232,123471,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/engines[0]/active-engine[0]/egt-norm[0],float64,norm[0..1 or -1..1],0.0,0.2646546363830566,0.21363645447159146,0.08301445216698046,105516,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/engines[0]/active-engine[0]/oil-temperature-degf[0],float64,,0.0,157.88455200195312,88.56769794155828,25.61617780136439,123006,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/engines[0]/active-engine[0]/oil-pressure-psi[0],float64,,0.0,77.78858947753906,65.79095447448766,12.840434499178247,121969,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/fdm[0]/jsbsim[0]/fcs[0]/steer-pos-deg[0],float64,deg,-10.0,10.0,0.08891703946560287,0.9721535528206854,776,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/gear[0]/gear[19]/compression-norm[0],float64,norm[0..1 or -1..1],0.0,0.0894680470228195,1.742611602969348e-05,0.001186581291740481,30,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/gear[0]/gear[19]/position-norm[0],float64,norm[0..1 or -1..1],1.0,1.0,1.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/gear[0]/gear[19]/rollspeed-ms[0],float64,m/s,0.0,7.267855167388916,0.004613341498676749,0.12556797729483246,110,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/gear[0]/gear[20]/compression-norm[0],float64,norm[0..1 or -1..1],0.0,0.2130615413188934,0.0002836747483152844,0.0026451380006374953,1742,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/gear[0]/gear[20]/position-norm[0],float64,norm[0..1 or -1..1],1.0,1.0,1.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/gear[0]/gear[20]/rollspeed-ms[0],float64,m/s,-8.392499923706055,22.00946807861328,0.27263302411922535,2.1664585397400735,2511,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/gear[0]/gear[21]/compression-norm[0],float64,norm[0..1 or -1..1],0.0,0.0499934591352939,2.053172587761667e-05,0.0008035753752404201,104,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/gear[0]/gear[21]/position-norm[0],float64,norm[0..1 or -1..1],1.0,1.0,1.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/gear[0]/gear[21]/rollspeed-ms[0],float64,m/s,-8.255352973937988,0.0786837413907051,-0.0018033650120799778,0.10930571974229748,104,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/gear[0]/gear[22]/compression-norm[0],float64,norm[0..1 or -1..1],0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/gear[0]/gear[22]/position-norm[0],float64,norm[0..1 or -1..1],1.0,1.0,1.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/gear[0]/gear[22]/rollspeed-ms[0],float64,m/s,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/controls[0]/gear[0]/water-rudder-down-actual[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/engines[0]/engine[7]/rpm[0],float64,,-7.988345146179199,35.71944046020508,3.188191987305365,7.605102941682283,25263,0,0,False,False,/gear[0]/gear[0]/rollspeed-ms[0],identity (byte-exact),False,excluded,duplicate_unit_or_exact
/engines[0]/engine[7]/n1[0],float64,,-7.943906307220459,36.14152145385742,2.3661775666353013,6.562047922849327,19788,0,0,False,False,/gear[0]/gear[1]/rollspeed-ms[0],identity (byte-exact),False,excluded,duplicate_unit_or_exact
/engines[0]/engine[7]/n2[0],float64,,-8.150607109069824,34.12238311767578,2.8919799865016236,7.145762444102104,23916,0,0,False,False,/gear[0]/gear[2]/rollspeed-ms[0],identity (byte-exact),False,excluded,duplicate_unit_or_exact
/rotors[0]/main[0]/blade[0]/position-deg[0],float64,deg,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/rotors[0]/main[0]/blade[1]/position-deg[0],float64,deg,-8.278241157531738,0.1499409675598144,-0.004014262989358676,0.16443009881580278,414,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/rotors[0]/main[0]/blade[2]/position-deg[0],float64,deg,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/fdm[0]/jsbsim[0]/ski[0]/atan-actual[0],float64,,-1.2132729291915894,0.9669589400291444,0.20056941602007622,0.34236585277911374,123617,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/fdm[0]/jsbsim[0]/gear[0]/unit[23]/z-position[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/fdm[0]/jsbsim[0]/gear[0]/unit[24]/z-position[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/fdm[0]/jsbsim[0]/gear[0]/unit[25]/z-position[0],float64,,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/fdm[0]/jsbsim[0]/contact[0]/unit[4]/z-position[0],float64,,-10.0,50.0,47.40761769198167,12.199331233907687,2,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/fdm[0]/jsbsim[0]/contact[0]/unit[5]/z-position[0],float64,,-10.0,50.0,47.40761769198167,12.199331233907687,2,0,0,False,False,/fdm[0]/jsbsim[0]/contact[0]/unit[4]/z-position[0],identity (byte-exact),False,excluded,duplicate_unit_or_exact
/fdm[0]/jsbsim[0]/wing-damage[0]/left-wing[0],float64,,0.0,1.0,0.0029108123885454736,0.05387358136619332,2,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/fdm[0]/jsbsim[0]/wing-damage[0]/right-wing[0],float64,,0.0,1.0,0.00930820225348058,0.09602933597221651,2,0,0,False,False,,,False,excluded,forbidden_input_family_section10
/velocities[0]/groundspeed-kt[0],float64,kt,2.225390198873356e-05,100.86271667480467,63.51499754790706,19.245902267819773,123695,0,0,False,False,,,False,flight_manager_only,
