column_name,role,exclusion_reason,duplicate_of
/systems[0]/vacuum[0]/suction-inhg[0],excluded,forbidden_input_family_section10,
/systems[0]/static[0]/pressure-inhg[0],excluded,forbidden_input_family_section10,
/systems[0]/pitot[0]/measured-total-pressure-inhg[0],excluded,forbidden_input_family_section10,
/systems[0]/electrical[0]/battery-charge-percent[0],excluded,forbidden_input_family_section10,
/fdm[0]/jsbsim[0]/velocities[0]/vias-kts[0],qa_only,,
/instrumentation[0]/attitude-indicator[0]/spin[0],excluded,forbidden_input_family_section10,
/instrumentation[0]/attitude-indicator[0]/horizon-offset-deg[0],excluded,constant_or_not_applicable_to_c172p,
/instrumentation[0]/heading-indicator[0]/spin[0],excluded,forbidden_input_family_section10,
/instrumentation[0]/heading-indicator[0]/offset-deg[0],excluded,forbidden_input_family_section10,
/autopilot[0]/settings[0]/heading-bug-deg[0],excluded,constant_or_not_applicable_to_c172p,
/instrumentation[0]/magnetic-compass[0]/indicated-heading-deg[0],excluded,forbidden_input_family_section10,
/instrumentation[0]/altimeter[0]/setting-inhg[0],excluded,forbidden_input_family_section10,
/instrumentation[0]/nav[0]/radials[0]/selected-deg[0],excluded,constant_or_not_applicable_to_c172p,
/instrumentation[0]/nav[1]/radials[0]/selected-deg[0],excluded,constant_or_not_applicable_to_c172p,
/instrumentation[0]/adf[0]/rotation-deg[0],excluded,constant_or_not_applicable_to_c172p,
/engines[0]/engine[0]/egt-bug-norm[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/sounds[0]/stall-horn-volume-actual[0],excluded,not_in_v1_feature_schema_sections14_15,
/fdm[0]/jsbsim[0]/sounds[0]/stall-horn-pitch-actual[0],excluded,not_in_v1_feature_schema_sections14_15,
/environment[0]/aircraft-effects[0]/cabin-heat-set[0],excluded,constant_or_not_applicable_to_c172p,
/environment[0]/aircraft-effects[0]/cabin-air-set[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/inertia[0]/pointmass-weight-lbs[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/inertia[0]/pointmass-weight-lbs[1],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/inertia[0]/pointmass-weight-lbs[2],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/inertia[0]/pointmass-weight-lbs[3],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/inertia[0]/pointmass-weight-lbs[4],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/lighting[0]/instruments-norm[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/lighting[0]/radio-norm[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/lighting[0]/dome-white-norm[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/lighting[0]/gps-norm[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/switches[0]/stby-batt[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/lighting[0]/batt-test-lamp-norm[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/lighting[0]/avionics-norm[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/lighting[0]/pedestal-norm[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/lighting[0]/swcb-norm[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/lighting[0]/stby-norm[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/lighting[0]/domeL-norm[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/lighting[0]/domeR-norm[0],excluded,constant_or_not_applicable_to_c172p,
/instrumentation[0]/FG1000[0]/Lightmap[0],excluded,constant_or_not_applicable_to_c172p,
/sim[0]/model[0]/door-positions[0]/rightDoor[0]/position-norm[0],excluded,constant_or_not_applicable_to_c172p,
/sim[0]/model[0]/door-positions[0]/leftDoor[0]/position-norm[0],excluded,constant_or_not_applicable_to_c172p,
/sim[0]/model[0]/door-positions[0]/baggageDoor[0]/position-norm[0],excluded,constant_or_not_applicable_to_c172p,
/sim[0]/model[0]/door-positions[0]/leftWindow[0]/position-norm[0],excluded,constant_or_not_applicable_to_c172p,
/sim[0]/model[0]/door-positions[0]/rightWindow[0]/position-norm[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/engines[0]/active-engine[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/fuel[0]/tank[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/pontoon-damage[0]/left-pontoon[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/pontoon-damage[0]/right-pontoon[0],excluded,constant_or_not_applicable_to_c172p,
/fdm[0]/jsbsim[0]/bushkit[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/switches[0]/magnetos[0],excluded,constant_or_not_applicable_to_c172p,
/sim[0]/alarms[0]/stall-warning[0],excluded,forbidden_input_family_section10,
/controls[0]/gear[0]/gear-down[0],flight_manager_only,,
/controls[0]/switches[0]/master-avionics[0],excluded,constant_or_not_applicable_to_c172p,
/hazards[0]/icing[0]/wing[0],excluded,constant_or_not_applicable_to_c172p,
/gear[0]/gear[0]/wow[0],flight_manager_only,,
/gear[0]/gear[1]/wow[0],flight_manager_only,,
/gear[0]/gear[2]/wow[0],flight_manager_only,,
/controls[0]/flight[0]/flaps-serviceable[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/engines[0]/engine[0]/faults[0]/serviceable[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/engines[0]/engine[0]/faults[0]/left-magneto-serviceable[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/engines[0]/engine[0]/faults[0]/right-magneto-serviceable[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/engines[0]/engine[0]/faults[0]/spark-plugs-serviceable[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/engines[0]/engine[0]/faults[0]/oil-pressure-status[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/engines[0]/engine[0]/faults[0]/fuel-pump-serviceable[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/fuel[0]/tank[0]/fuel_selector[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/fuel[0]/tank[1]/fuel_selector[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/fuel[0]/tank[2]/fuel_selector[0],excluded,constant_or_not_applicable_to_c172p,
/engines[0]/active-engine[0]/exhaust[0],excluded,forbidden_input_family_section10,
/engines[0]/active-engine[0]/cranking[0],excluded,forbidden_input_family_section10,
/engines[0]/active-engine[0]/running[0],excluded,not_in_v1_feature_schema_sections14_15,
/engines[0]/active-engine[0]/crash-engine[0],excluded,constant_or_not_applicable_to_c172p,
/engines[0]/active-engine[0]/kill-engine[0],excluded,constant_or_not_applicable_to_c172p,
/engines[0]/active-engine[0]/killed[0],excluded,constant_or_not_applicable_to_c172p,
/engines[0]/active-engine[0]/crashed[0],excluded,constant_or_not_applicable_to_c172p,
/engines[0]/active-engine[0]/coughing[0],excluded,constant_or_not_applicable_to_c172p,
